Year,Accident,Hijacking,Bombing,Passengers
1970,1450,20,30,0.31
1971,1350,20,10,0.33
1972,2300,50,100,0.36
1973,2000,80,50,0.40
1974,1900,80,120,0.42
1975,1150,10,10,0.43
1976,1600,20,130,0.48
1977,1300,80,20,0.52
1978,1250,10,10,0.60
1979,1750,10,0,0.64
1980,1250,5,5,0.64
1981,900,10,5,0.66
1982,1100,10,20,0.68
1983,800,20,120,0.72
1984,600,60,10,0.78
1985,1900,40,400,0.85
1986,800,20,70,0.92
1987,1100,30,300,0.98
1988,1100,30,280,1.05
1989,1450,40,300,1.10
1990,650,80,20,1.12
1991,1050,10,10,1.13
1992,1500,10,10,1.18
1993,1150,20,10,1.25
1994,1400,40,30,1.35
1995,1050,10,0,1.42
1996,1800,150,10,1.5
1997,1250,10,0,1.55
1998,1250,0,0,1.60
1999,700,0,0,1.65
2000,1150,0,0,1.75
2001,800,265,0,1.73
2002,1100,0,0,1.75
2003,700,0,0,1.78
2004,450,0,50,1.95
2005,1000,0,60,2.15
2006,900,0,0,2.3
2007,750,0,0,2.5
2008,600,0,0,2.65
2009,750,0,0,2.68
2010,950,0,0,2.75
2011,500,0,0,2.85
2012,500,0,0,2.95
