Date,Aircraft,Color,KMH
"December 7, 1903",Wright Flyer,smaller,10.98
"October 5, 1905",Wright Flyer III,smaller,60.23
"November 12, 1906",Santos-Dumont 14-bis,smaller,41.292
"October 26, 1907",Voisin-Farman I,smaller,52.7
"May 25, 1909",Wright Model A,smaller,54.81
"August 23, 1909",Curtiss No. 2,smaller,69.821
"August 24, 1909",Blériot XI,smaller,74.318
"August 28, 1909",Blériot XI,smaller,76.995
"April 23, 1910",Antoinette VII,smaller,77.579
"July 10, 1910",Blériot,smaller,106.508
"October 29, 1910",Blériot XI,smaller,109.756
"April 12, 1911",Blériot,smaller,111.801
"May 11, 1911",Nieuport IIN,smaller,119.76
"June 12, 1911",Blériot,smaller,125
"June 16, 1911",Nieuport IIN,smaller,130.057
"June 21, 1911",Nieuport IIN,smaller,133.136
"January 13, 1912",Deperdussin Monocoque,smaller,145.161
"February 22, 1912",Deperdussin Monocoque,smaller,161.29
"February 29, 1912",Deperdussin Monocoque,smaller,162.454
"March 1, 1912",Deperdussin Monocoque,smaller,166.821
"March 2, 1912",Deperdussin Monocoque,smaller,167.91
"July 13, 1912",Deperdussin Monocoque,smaller,170.777
"September 9, 1912",Deperdussin Monocoque,smaller,174.1
"June 17, 1913",Deperdussin Monocoque,smaller,179.82
"September 27, 1913",Deperdussin Monocoque,smaller,191.897
"September 29, 1913",Deperdussin Monocoque,smaller,203.85
"January 1, 1914",Royal Aircraft Factory S.E.4,smaller,216.5
"August 1, 1918",Curtiss Wasp,smaller,262.3
"January 1, 1919",Nieuport-Delage NiD 29V,smaller,307.5
"February 7, 1920",Nieuport-Delage NiD 29V,smaller,275.264
"February 28, 1920",SPAD S.20bis,smaller,283.464
"October 9, 1920",SPAD S.20bis,smaller,292.682
"October 10, 1920",Nieuport-Delage NiD 29V,smaller,296.694
"October 20, 1920",Nieuport-Delage NiD 29V,smaller,302.529
"November 4, 1920",SPAD S.XX,smaller,309.012
"December 12, 1920",Nieuport-Delage NiD 29V,smaller,313.043
"September 26, 1921",Nieuport-Delage Sesquiplan,smaller,330.275
"October 13, 1922",Curtiss R,smaller,358.836
"October 18, 1922",Curtiss R-6,smaller,360.93
"February 15, 1923",Nieuport-Delage NiD 42S,smaller,375
"March 29, 1923",Curtiss R-6,smaller,380.74
"November 2, 1923",Curtiss R2C-1,smaller,417.07
"November 4, 1923",Curtiss R2C-1,smaller,429.02
"November 11, 1924",Bernard-Ferbois V.2,smaller,448.171
"November 4, 1927",Macchi M.52 seaplane,smaller,479.29
"March 30, 1928",Macchi M.52bis seaplane,smaller,512.776
"August 1, 1929",Macchi M.67 seaplane,smaller,582.6
"September 10, 1929",Gloster VI seaplane,smaller,541.4
"September 12, 1929",Supermarine S.6 seaplane,smaller,575.5
"September 13, 1931",Supermarine S.6B seaplane,smaller,655.8
"April 10, 1933",Macchi M.C.72 seaplane,smaller,682.078
"October 23, 1934",Macchi M.C.72 seaplane,smaller,709.209
"September 13, 1935",Hughes H-1 Racer,smaller,567.12
"November 11, 1937",Messerschmitt Bf 109 V.13,smaller,610.95
"March 30, 1939",Heinkel He 100 V8,smaller,746.6
"April 26, 1939",Messerschmitt Me 209 V1,smaller,755.138
"October 2, 1941","Messerschmitt Me 163A ""V4""",smaller,1003.67
"January 1, 1944",Messerschmitt Me 262 S2,smaller,1004
"July 6, 1944","Messerschmitt Me 163B""V18""",smaller,1130
"November 7, 1945",Gloster Meteor F Mk.4,smaller,975.9
"September 7, 1946",Gloster Meteor F Mk.4,smaller,990.79
"June 19, 1947",Lockheed P-80R Shooting Star,smaller,1003.6
"August 20, 1947",Douglas D-558-1 Skystreak,smaller,1031.049
"August 25, 1947",Douglas D-558-1 Skystreak,smaller,1047.356
"October 14, 1947",Bell X-1 (flight #50),smaller,1078
"November 6, 1947",Bell X-1 (flight #58),larger,1434
"September 15, 1948",North American F-86A-3 Sabre,smaller,1079.6
"November 18, 1952",North American F-86D Sabre,smaller,1124.13
"July 16, 1953",North American F-86D Sabre,smaller,1151.88
"September 7, 1953",Hawker Hunter Mk.3,smaller,1171
"September 26, 1953",Supermarine Swift F4,smaller,1184
"October 3, 1953",Douglas F4D Skyray,smaller,1211.5
"October 29, 1953",North American F-100 Super Sabre,smaller,1215.3
"August 20, 1955",North American F-100C Super Sabre,larger,1323
"March 10, 1956",Fairey Delta 2,larger,1822
"December 12, 1957",McDonnell F-101A Voodoo,larger,1943.5
"May 16, 1958",Lockheed YF-104A Starfighter,larger,2259.538
"September 14, 1958",Avro CF-105 Arrow,larger,2333.8
"October 31, 1959",Mikoyan-Gurevich Ye-6/3 or Ye-66),larger,2388
"December 15, 1959",Convair F-106 Delta Dart,larger,2455.7
"November 22, 1961",McDonnell-Douglas F4H-1F Phantom II,larger,2585.1
"July 7, 1962",Mikoyan Gurevich Ye-166,larger,2681
"January 12, 1966",North American XB-70 Valkyrie,larger,3250
"May 1, 1965",Lockheed YF-12A,larger,3331.5
"July 28, 1976",Lockheed SR-71 Blackbird#61-7958,larger,3529.6
