"year","name","value"
"2001","Africa",0.155097999999998
"2001","Americas",5.23394799999997
"2001","Europe",6.04228699999998
"2001","Oceania",0.269267000000002
"2001","Asia (excl. China)",8.115429
"2001","China",3.414505
"2002","Africa",0.270370999999996
"2002","Americas",5.50411300000001
"2002","Europe",7.33187000000002
"2002","Oceania",0.154746000000001
"2002","Asia (excl. China)",2.46947800000002
"2002","China",3.98650999999999
"2003","Africa",0.396805999999997
"2003","Americas",6.81827799999999
"2003","Europe",8.05731999999998
"2003","Oceania",0.179384000000002
"2003","Asia (excl. China)",7.35749199999994
"2003","China",9.13207000000001
"2004","Africa",0.104592000000004
"2004","Americas",4.77111700000003
"2004","Europe",10.226285
"2004","Oceania",0.453485999999999
"2004","Asia (excl. China)",7.32521499999997
"2004","China",10.622
"2005","Africa",0.118566999999999
"2005","Americas",7.190696
"2005","Europe",13.010695
"2005","Oceania",1.135595
"2005","Asia (excl. China)",6.42925400000006
"2005","China",12.0096
"2006","Africa",-0.000742999999994936
"2006","Americas",9.11579999999999
"2006","Europe",11.186947
"2006","Oceania",0.174933000000001
"2006","Asia (excl. China)",7.82726699999999
"2006","China",13.829
"2007","Africa",0.366504999999994
"2007","Americas",13.354976
"2007","Europe",12.983679
"2007","Oceania",0.675495000000001
"2007","Asia (excl. China)",6.21255799999995
"2007","China",17.8638
"2008","Africa",0.450061999999998
"2008","Americas",11.925352
"2008","Europe",16.403301
"2008","Oceania",0.319072
"2008","Asia (excl. China)",6.60883500000005
"2008","China",27.633747
"2009","Africa",2.101942
"2009","Americas",15.792215
"2009","Europe",22.713459
"2009","Oceania",0.72977
"2009","Asia (excl. China)",7.79401900000012
"2009","China",30.889749
"2010","Africa",1.120163
"2010","Americas",17.688901
"2010","Europe",26.508488
"2010","Oceania",1.083256
"2010","Asia (excl. China)",12.798404
"2010","China",28.024464
"2011","Africa",0.441933000000005
"2011","Americas",16.7763750000001
"2011","Europe",39.0180300000001
"2011","Oceania",0.767092000000001
"2011","Asia (excl. China)",13.4122899999999
"2011","China",34.640849
"2012","Africa",0.952414000000001
"2012","Americas",25.339103
"2012","Europe",35.896162
"2012","Oceania",1.630981
"2012","Asia (excl. China)",14.9187440000001
"2012","China",34.203225
"2013","Africa",2.246485
"2013","Americas",14.739524
"2013","Europe",24.684846
"2013","Oceania",1.550895
"2013","Asia (excl. China)",21.9788929999999
"2013","China",57.414781
"2014","Africa",1.921625
"2014","Americas",23.786767
"2014","Europe",21.804654
"2014","Oceania",1.625274
"2014","Asia (excl. China)",28.7014239999999
"2014","China",55.134688
"2015","Africa",2.25900399999999
"2015","Americas",32.235476
"2015","Europe",25.354837
"2015","Oceania",1.541312
"2015","Asia (excl. China)",28.3575650000001
"2015","China",64.452904
"2016","Africa",2.70670800000001
"2016","Americas",39.8516910000001
"2016","Europe",23.5467700000001
"2016","Oceania",1.282359
"2016","Asia (excl. China)",33.2067899999999
"2016","China",61.912275
"2017","Africa",5.39265100000001
"2017","Americas",26.5335110000001
"2017","Europe",24.684808
"2017","Oceania",2.151729
"2017","Asia (excl. China)",32.1063180000001
"2017","China",79.840023
"2018","Africa",5.31798899999999
"2018","Americas",29.946749
"2018","Europe",24.9419959999999
"2018","Oceania",5.208181
"2018","Asia (excl. China)",35.223632
"2018","China",74.60747
"2019","Africa",2.122868
"2019","Americas",36.065843
"2019","Europe",38.596531
"2019","Oceania",5.878229
"2019","Asia (excl. China)",41.6584770000003
"2019","China",63.406607
"2020","Africa",3.40475
"2020","Americas",41.614421
"2020","Europe",35.518322
"2020","Oceania",6.740784
"2020","Asia (excl. China)",45.740529
"2020","China",137.542188
"2021","Africa",1.896029
"2021","Americas",52.411159
"2021","Europe",43.4662170000001
"2021","Oceania",5.30589299999999
"2021","Asia (excl. China)",39.665051
"2021","China",121.43976
"2022","Africa",3.73150700000001
"2022","Americas",50.571524
"2022","Europe",64.5137799999999
"2022","Oceania",6.43017100000002
"2022","Asia (excl. China)",44.3961229999994
"2022","China",138.27476
"2023","Africa",2.72350600000001
"2023","Americas",58.1747749999999
"2023","Europe",69.8181780000001
"2023","Oceania",5.65585099999998
"2023","Asia (excl. China)",39.2256679999998
"2023","China",297.57476
