rank,number,president,age
1,47,Donald J. Trump,78.60
2,46,Joe Biden,78.17
3,45,Donald J. Trump,70.60
4,40,Ronald Reagan,69.95
5,9,William Henry Harrison,68.06
6,15,James Buchanan,65.86
7,41,George H. W. Bush,64.61
8,12,Zachary Taylor,64.27
9,34,Dwight D. Eisenhower,62.27
10,7,Andrew Jackson,61.97
11,2,John Adams,61.34
12,38,Gerald R. Ford,61.07
13,33,Harry S. Truman,60.93
14,5,James Monroe,58.85
15,4,James Madison,57.97
16,3,Thomas Jefferson,57.89
17,6,John Quincy Adams,57.65
18,1,George Washington,57.19
19,17,Andrew Johnson,56.29
20,28,Woodrow Wilson,56.18
21,37,Richard M. Nixon,56.03
22,24,Grover Cleveland,55.96
23,23,Benjamin Harrison,55.54
24,29,Warren G. Harding,55.33
25,36,Lyndon B. Johnson,55.24
26,31,Herbert Hoover,54.56
27,43,George W. Bush,54.54
28,19,Rutherford B. Hayes,54.41
29,8,Martin Van Buren,54.24
30,25,William McKinley,54.09
31,39,Jimmy Carter,52.30
32,16,Abraham Lincoln,52.05
33,21,Chester A. Arthur,51.96
34,27,William H. Taft,51.47
35,32,Franklin D. Roosevelt,51.09
36,30,Calvin Coolidge,51.08
37,10,John Tyler,51.02
38,13,Millard Fillmore,50.50
39,11,James K. Polk,49.34
40,20,James A. Garfield,49.29
41,14,Franklin Pierce,48.28
42,22,Grover Cleveland,47.96
43,44,Barack Obama,47.46
44,18,Ulysses S. Grant,46.85
45,42,Bill Clinton,46.42
46,35,John F. Kennedy,43.65
47,26,Theodore Roosevelt,42.88
