State,LegalStatus,Medicinal,Decriminalized
Alabama,Medical,Yes,No
Alaska,Legalized,Yes,Yes
Arizona,Legalized,Yes,Yes
Arkansas,Medical,Yes,No
California,Legalized,Yes,Yes
Colorado,Legalized,Yes,Yes
Connecticut,Legalized,Yes,Yes
Delaware,Legalized,Yes,Yes
District of Columbia,Legalized,Yes,Yes
Florida,Medical,Yes,No
Georgia,CBD with THC Only,No,No
Hawaii,Medical and Decriminalized,Yes,Yes
Idaho,Fully illegal,No,No
Illinois,Legalized,Yes,Yes
Indiana,CBD with THC Only,No,No
Iowa,CBD with THC Only,No,No
Kansas,Fully illegal,No,No
Kentucky,Medical,Yes,No
Louisiana,Medical and Decriminalized,Yes,Yes
Maine,Legalized,Yes,Yes
Maryland,Legalized,Yes,Yes
Massachusetts,Legalized,Yes,Yes
Michigan,Legalized,Yes,Yes
Minnesota,Legalized,Yes,Yes
Mississippi,Medical and Decriminalized,Yes,Yes
Missouri,Legalized,Yes,Yes
Montana,Legalized,Yes,Yes
Nebraska,Decriminalized,No,Yes
Nevada,Legalized,Yes,Yes
New Hampshire,Medical and Decriminalized,Yes,Yes
New Jersey,Legalized,Yes,Yes
New Mexico,Legalized,Yes,Yes
New York,Legalized,Yes,Yes
North Carolina,Decriminalized,No,Yes
North Dakota,Medical and Decriminalized,Yes,Yes
Ohio,Legalized,Yes,Yes
Oklahoma,Medical,Yes,No
Oregon,Legalized,Yes,Yes
Pennsylvania,Medical,Yes,No
Rhode Island,Legalized,Yes,Yes
South Carolina,Fully illegal,No,No
South Dakota,Medical,Yes,No
Tennessee,CBD with THC Only,No,No
Texas,CBD with THC Only,No,No
Utah,Medical,Yes,No
Vermont,Legalized,Yes,Yes
Virginia,Legalized,Yes,Yes
Washington,Legalized,Yes,Yes
West Virginia,Medical,Yes,No
Wisconsin,CBD with THC Only,No,No
Wyoming,Fully illegal,No,No
